symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
DCP-PC,"DCP Midstream, LP",24.42,+0.09,+0.39%,"8,218","11,230",6.504B,56.41,
SHI,Sinopec Shanghai Petrochemical Company Limited,30.99,+0.95,+3.16%,"22,676","55,404",5.715B,3.30,
ENBL,"Enable Midstream Partners, LP",12.52,+0.07,+0.57%,"114,923","666,966",5.447B,10.52,
PE,"Parsley Energy, Inc.",16.36,+0.41,+2.60%,"636,214",4.888M,5.182B,17.73,
SHLX,"Shell Midstream Partners, L.P.",21.42,+0.22,+1.04%,"28,441","660,380",4.997B,11.91,
WPX,"WPX Energy, Inc.",10.54,+0.20,+1.93%,1.294M,8.461M,4.451B,20.55,
TGE,"Tallgrass Energy, LP",15.73,-0.02,-0.16%,"310,632",1.291M,4.424B,10.74,
HP,"Helmerich & Payne, Inc.",39.61,+0.20,+0.51%,"265,664",1.442M,4.335B,N/A,
CVI,"CVR Energy, Inc.",42.96,+0.90,+2.14%,"98,793","551,677",4.319B,10.59,
BSM,"Black Stone Minerals, L.P.",14.02,+0.18,+1.30%,"20,470","238,046",4.238B,8.99,
XEC,Cimarex Energy Co.,41.61,+0.56,+1.36%,"303,110",1.742M,4.222B,6.77,
VVV,Valvoline Inc.,22.29,+0.19,+0.86%,"119,022",1.052M,4.195B,18.78,
NFG,National Fuel Gas Company,47.57,+0.53,+1.13%,"65,668","766,820",4.106B,13.98,
AM,Antero Midstream Corporation,7.70,+0.18,+2.39%,"786,648",6.017M,3.903B,19.20,
YPF,YPF Sociedad Anónima,9.86,-0.70,-6.63%,1.099M,2.443M,3.878B,3.16,
ENLC,"EnLink Midstream, LLC",7.93,+0.18,+2.32%,"398,094",2.822M,3.864B,N/A,
VNOM,Viper Energy Partners LP,28.24,+0.41,+1.47%,"29,877","367,636",3.814B,40.69,
DCP,"DCP Midstream, LP",25.58,+0.40,+1.59%,"96,731","633,947",3.666B,24.93,
PAGP,"Plains GP Holdings, L.P.",22.45,+0.15,+0.67%,"212,874",1.615M,3.58B,8.98,
ETRN,Equitrans Midstream Corporation,13.98,+0.18,+1.34%,"276,040",2.316M,3.562B,21.52,
EQT,EQT Corporation,12.74,+0.38,+3.07%,"953,532",4.92M,3.255B,N/A,
MUR,Murphy Oil Corporation,19.93,+0.96,+5.06%,"752,885",2.827M,3.234B,10.40,
NS,NuStar Energy L.P.,27.49,+0.65,+2.42%,"179,477","448,385",2.962B,N/A,
HEP,"Holly Energy Partners, L.P.",27.32,-0.16,-0.58%,"50,149","137,096",2.881B,15.21,
NS-PA,NuStar Energy L.P.,23.98,+0.04,+0.15%,"3,431","18,222",3B,N/A,
NS-PB,NuStar Energy L.P.,21.32,+0.20,+0.94%,"19,650","31,886",2.82B,N/A,
RTLR,Rattler Midstream LP,18.21,+0.53,+2.99%,"83,681","662,801",2.759B,21.00,
TCP,"TC PipeLines, LP",37.48,+0.41,+1.11%,"12,795","171,626",2.744B,N/A,
PBF,PBF Energy Inc.,22.75,+1.01,+4.65%,"437,801",2.183M,2.728B,125.00,
MGY,Magnolia Oil & Gas Corporation,10.32,+0.20,+1.98%,"291,272",1.596M,2.683B,N/A,
GEL,"Genesis Energy, L.P.",21.05,+0.31,+1.49%,"21,520","586,298",2.58B,N/A,
SUN,Sunoco LP,30.41,-0.02,-0.07%,"114,855","263,123",2.516B,18.03,
INT,World Fuel Services Corporation,38.30,+0.70,+1.86%,"104,393","545,879",2.599B,18.15,
KOS,Kosmos Energy Ltd.,6.18,-0.08,-1.20%,"721,810",4.461M,2.483B,106.64,
CEQP,Crestwood Equity Partners LP,34.34,+1.18,+3.57%,"60,641","261,809",2.467B,11.78,
DK,"Delek US Holdings, Inc.",32.55,+1.48,+4.76%,"356,359",1.322M,2.452B,5.08,
CHK-PD,Chesapeake Energy Corporation,40.00,0.00,0.00%,27,"9,003",2.356B,44.54,
VET,Vermilion Energy Inc.,15.20,+0.19,+1.27%,"142,744","581,371",2.357B,N/A,
NS-PC,NuStar Energy L.P. 9.00% CUM PFD C,24.69,+0.10,+0.42%,"8,557","21,595",2.297B,19.87,
APY,Apergy Corporation,27.22,+1.13,+4.33%,"81,979","603,195",2.108B,22.50,
WHD,"Cactus, Inc.",26.96,+0.34,+1.28%,"50,414","564,904",2.025B,13.24,
PDCE,"PDC Energy, Inc.",27.89,+0.59,+2.16%,224.766k,1.343M,1.848B,N/A,
MTDR,Matador Resources Company,15.78,+0.76,+5.09%,"499,959",2.809M,1.84B,10.59,
NGL-PC,NGL Energy Partners LP,25.38,+0.01,+0.04%,362,"19,838",1.793B,9.99,
NGL-PB,NGL Energy Partners LP,24.97,+0.03,+0.14%,"6,862","31,586",1.785B,9.83,
PTEN,"Patterson-UTI Energy, Inc.",8.73,+0.15,+1.75%,578.896k,4.14M,1.769B,N/A,
DRQ,"Dril-Quip, Inc.",48.95,+1.71,+3.62%,"31,595","337,111",1.772B,N/A,
CLB,Core Laboratories N.V.,39.65,+0.88,+2.27%,"61,248","714,873",1.759B,17.84,
EURN,Euronav NV,7.92,+0.36,+4.76%,"95,229","382,801",1.692B,N/A,
NGL,NGL Energy Partners LP,13.12,+0.30,+2.34%,"132,920","683,547",1.656B,5.17,
USAC,"USA Compression Partners, LP",16.04,+0.19,+1.20%,"28,764","197,977",1.549B,N/A,
BPMP,BP Midstream Partners LP,14.79,+0.11,+0.75%,"20,417","258,387",1.549B,10.62,
ERF,Enerplus Corporation,6.59,+0.09,+1.31%,"252,056","991,614",1.516B,15.07,
JAG,Jagged Peak Energy Inc.,6.83,+0.31,+4.75%,"415,634",1.563M,1.458B,13.66,
CNX,CNX Resources Corporation,7.53,+0.24,+3.29%,683.147k,5.032M,1.411B,5.04,
TGS,Transportadora de Gas del Sur S.A.,8.89,-0.82,-8.44%,"221,240","752,425",1.388B,8.31,
NBLX,Noble Midstream Partners LP,24.56,+0.20,+0.82%,"35,203","194,147",1.367B,6.29,
LBRT,Liberty Oilfield Services Inc.,11.91,+0.13,+1.10%,"139,389","715,195",1.34B,8.89,
AROC,"Archrock, Inc.",8.78,+0.24,+2.77%,"77,719","784,050",1.334B,21.30,
DNOW,NOW Inc.,12.03,+0.10,+0.84%,"147,828","793,879",1.309B,19.75,
RES,"RPC, Inc.",6.09,-0.01,-0.25%,"286,348",2.716M,1.306B,19.08,
PBFX,PBF Logistics LP,19.82,+0.17,+0.87%,"8,068","100,057",1.231B,12.38,
OII,"Oceaneering International, Inc.",12.35,+0.28,+2.36%,"111,055",1.228M,1.222B,N/A,
PUMP,ProPetro Holding Corp.,11.62,+0.28,+2.47%,"172,268",1.514M,1.168B,5.42,
