symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
INGR,Ingredion Incorporated,76.15,+0.25,+0.33%,"70,193","599,200",5.081B,13.32,
CHGG,"Chegg, Inc.",41.05,+0.59,+1.46%,"327,928",1.488M,4.912B,N/A,
PFGC,Performance Food Group Company,46.23,+0.63,+1.38%,"67,404","634,522",4.863B,28.91,
FLO,"Flowers Foods, Inc.",22.96,-0.03,-0.13%,"87,982",1.174M,4.856B,27.33,
CCU,Compañía Cervecerías Unidas S.A.,23.46,-0.29,-1.22%,"68,813","194,638",4.388B,9.27,
LANC,Lancaster Colony Corporation,157.13,+0.73,+0.47%,"30,978","97,200",4.322B,28.88,
NOMD,Nomad Foods Limited,20.81,-0.14,-0.67%,"167,869","927,400",4.047B,20.67,
GO,Grocery Outlet Holding Corp.,45.03,-1.61,-3.45%,"285,493","951,412",3.979B,N/A,
STRA,"Strategic Education, Inc.",177.32,+2.15,+1.23%,"54,819","148,949",3.893B,654.32,
LAUR,"Laureate Education, Inc.",17.16,+0.14,+0.82%,"134,531","997,171",3.855B,4.06,
GHC,Graham Holdings Company,717.18,+2.06,+0.29%,"2,348","31,323",3.812B,11.98,
HELE,Helen of Troy Limited,151.31,+3.26,+2.20%,"51,926","248,976",3.799B,22.92,
JJSF,J & J Snack Foods Corp.,194.68,+1.17,+0.60%,"15,202","76,368",3.668B,39.89,
COKE,"Coca-Cola Consolidated, Inc.",380.65,+15.84,+4.34%,"61,793","69,622",3.568B,529.42,
GSX,GSX Techedu Inc.,14.35,+0.90,+6.69%,"425,189",1.099M,3.372B,N/A,
DAR,Darling Ingredients Inc.,19.14,+0.17,+0.90%,"71,482","783,219",3.153B,41.43,
SAFM,"Sanderson Farms, Inc.",142.18,-1.22,-0.85%,"86,431","394,949",3.15B,N/A,
AKO-B,Embotelladora Andina S.A.,19.10,+0.25,+1.33%,"1,221","6,380",3.013B,20.02,
THS,"TreeHouse Foods, Inc.",51.11,-0.06,-0.12%,"47,066","503,279",2.869B,N/A,
ATGE,Adtalem Global Education Inc.,49.88,+1.07,+2.19%,"36,034","313,580",2.822B,27.67,
AKO-A,Embotelladora Andina S.A.,17.13,0.00,0.00%,27,257,2.702B,17.96,
IBA,"Industrias Bachoco, S.A.B. de C.V.",51.37,+0.26,+0.50%,182,"8,426",2.553B,12.14,
SPB,"Spectrum Brands Holdings, Inc.",51.53,+1.15,+2.28%,"29,843","395,807",2.513B,5.55,
TR,"Tootsie Roll Industries, Inc.",38.44,+0.42,+1.10%,"15,074","112,387",2.476B,43.98,
AFYA,Afya Limited,26.28,+0.69,+2.70%,"110,850","686,966",2.304B,N/A,
HAIN,"The Hain Celestial Group, Inc.",21.99,+0.25,+1.13%,"339,582",1.129M,2.29B,N/A,
NUS,"Nu Skin Enterprises, Inc.",40.56,+0.19,+0.47%,"81,203","660,733",2.251B,17.72,
IPAR,"Inter Parfums, Inc.",67.77,+1.84,+2.79%,"5,388","115,344",2.132B,36.63,
SFM,"Sprouts Farmers Market, Inc.",17.97,+0.07,+0.36%,"177,043",1.725M,2.122B,15.72,
CALM,"Cal-Maine Foods, Inc.",43.19,+0.13,+0.30%,"28,515","441,688",2.103B,38.60,
FIZZ,National Beverage Corp.,43.37,+0.68,+1.58%,"32,281","530,495",2.023B,14.46,
PSMT,"PriceSmart, Inc.",59.17,+1.07,+1.84%,"14,820","173,455",1.807B,25.21,
COT,Cott Corporation,12.48,+0.04,+0.28%,"83,754",1.091M,1.681B,N/A,
VGR,Vector Group Ltd.,11.76,+0.05,+0.38%,"119,591",1.897M,1.657B,28.46,
CVGW,"Calavo Growers, Inc.",89.98,+0.05,+0.06%,"36,870","142,660",1.584B,49.71,
USNA,"USANA Health Sciences, Inc.",67.55,+0.14,+0.21%,"15,105","373,134",1.577B,15.00,
EPC,Edgewell Personal Care Company,29.02,+0.78,+2.76%,"71,040","995,452",1.572B,N/A,
CECO,Career Education Corporation,22.24,+0.16,+0.72%,"151,043","554,952",1.559B,30.38,
CORE,"Core-Mark Holding Company, Inc.",33.87,+0.45,+1.35%,"33,341","251,052",1.554B,28.44,
UVV,Universal Corporation,53.40,+0.88,+1.68%,"11,900","174,331",1.333B,14.55,
CENT,Central Garden & Pet Company,23.19,+0.07,+0.30%,76.406k,"120,133",1.257B,13.17,
BGS,"B&G Foods, Inc.",19.25,-0.01,-0.05%,"128,847",1.175M,1.258B,7.10,
CENTA,Central Garden & Pet Company,21.30,+0.15,+0.71%,38.586k,"286,911",1.257B,12.11,
FDP,Fresh Del Monte Produce Inc.,25.98,+0.01,+0.04%,"10,987","271,642",1.256B,67.48,
ONE,OneSmart International Education Group Limited,7.40,+0.32,+4.52%,"24,054","148,604",1.188B,N/A,
BEDU,Bright Scholar Education Holdings Limited,9.49,+0.11,+1.17%,"4,957","74,360",1.176B,30.91,
CHEF,"The Chefs' Warehouse, Inc.",38.28,+0.23,+0.59%,"45,314","172,766",1.159B,52.15,
LRN,K12 Inc.,28.71,+0.98,+3.53%,"37,309","252,025",1.155B,31.55,
WMK,"Weis Markets, Inc.",39.46,+0.62,+1.60%,"6,036","90,776",1.061B,17.05,
JBSS,"John B. Sanfilippo & Son, Inc.",81.25,+0.36,+0.44%,"11,321","61,152",931.978M,27.72,
ELF,"e.l.f. Beauty, Inc.",17.25,+0.82,+4.99%,232.188k,"653,750",860.211M,N/A,
REV,"Revlon, Inc.",16.17,-0.60,-3.58%,"47,866","129,576",857.529M,N/A,
BIG,"Big Lots, Inc.",21.19,+0.74,+3.64%,"153,476",1.371M,826.772M,6.06,
MGPI,"MGP Ingredients, Inc.",48.05,+0.04,+0.08%,"34,837","210,420",818.046M,21.44,
ANDE,"The Andersons, Inc.",24.99,+0.01,+0.04%,"55,580","140,001",814.674M,20.50,
TPB,"Turning Point Brands, Inc.",37.84,+1.15,+3.13%,"57,476","217,807",743.87M,22.93,
IMKTA,"Ingles Markets, Incorporated",36.61,+1.32,+3.74%,"26,572","65,447",769.626M,9.39,
HMHC,Houghton Mifflin Harcourt Company,5.72,+0.37,+6.92%,"73,171","673,857",711.087M,N/A,
AGRO,Adecoagro S.A.,5.97,-0.14,-2.37%,"50,887","374,182",702.552M,91.77,
FC,Franklin Covey Co.,38.96,+1.01,+2.66%,"4,042","38,890",544.435M,N/A,
NEW,Puxin Limited,6.25,-0.16,-2.50%,"20,708","223,293",515.759M,N/A,
APEI,"American Public Education, Inc.",27.32,+0.36,+1.34%,"9,262","81,846",446.876M,22.21,
LAIX,LAIX Inc.,8.88,-0.12,-1.33%,"14,849","20,133",436.472M,N/A,
SPTN,SpartanNash Company,11.66,+0.25,+2.19%,"55,118","375,307",423.419M,14.63,
UNFI,"United Natural Foods, Inc.",7.89,+0.42,+5.62%,"188,190",1.128M,415.838M,N/A,
VLGEA,"Village Super Market, Inc.",24.92,+0.34,+1.36%,"11,064","34,660",358.806M,14.47,
LMNR,Limoneira Company,19.38,+0.16,+0.83%,"2,890","64,074",344.437M,130.95,
PETS,"PetMed Express, Inc.",16.88,+0.38,+2.30%,"182,596","862,890",340.552M,11.39,
RAD,Rite Aid Corporation,5.95,+0.28,+4.93%,"352,601",2.627M,320.118M,N/A,
LNDC,Landec Corporation,10.90,+0.02,+0.17%,"5,643","139,125",317.639M,"1,089.81",
CRESY,"Cresud Sociedad Anónima Comercial, Inmobiliaria, Financiera y Agropecuaria",6.00,-0.32,-5.06%,"53,381","179,014",297.442M,1.11,
