symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
DISCK,"Discovery, Inc.",26.62,+0.52,+2.01%,"229,327",3.116M,14.678B,12.91,
WPP,WPP plc,58.37,+0.35,+0.60%,"21,094","162,844",14.684B,5.90,
DRI,"Darden Restaurants, Inc.",118.81,+1.71,+1.46%,"170,719",1.343M,14.591B,20.88,
HAS,"Hasbro, Inc.",114.47,+0.10,+0.09%,"95,345",1.004M,14.446B,46.51,
KMX,"CarMax, Inc.",85.62,+0.59,+0.69%,"128,288",1.729M,14.177B,17.01,
DISCB,"Discovery, Inc.",32.39,-3.51,-9.78%,252,753,12.981B,15.71,
GPC,Genuine Parts Company,90.46,+0.67,+0.74%,"101,755","742,826",13.213B,16.81,
LSXMA,The Liberty SiriusXM Group,40.44,+0.33,+0.82%,"58,911","474,703",12.967B,25.07,
LSXMK,The Liberty SiriusXM Group,40.98,+0.32,+0.79%,"61,500","654,934",12.962B,25.41,
NVR,"NVR, Inc.","3,537.50",+37.60,+1.07%,"5,299","23,461",12.931B,17.05,
CHWY,"Chewy, Inc.",31.01,+0.07,+0.23%,"479,818",5.13M,12.362B,N/A,
TSCO,Tractor Supply Company,100.79,+0.24,+0.24%,"269,110",1.13M,12.16B,22.46,
LSXMB,The Liberty SiriusXM Group,39.34,0.00,0.00%,2,234,12.245B,24.39,
WYNN,"Wynn Resorts, Limited",112.06,+6.51,+6.17%,1.061M,1.912M,12.059B,14.75,
CVNA,Carvana Co.,77.24,-2.21,-2.78%,"580,192",1.643M,11.675B,N/A,
IHG,InterContinental Hotels Group PLC,63.68,+0.22,+0.35%,"63,430","111,628",11.39B,27.59,
NCLH,Norwegian Cruise Line Holdings Ltd.,51.46,+0.98,+1.94%,"366,249",2.354M,11.095B,11.50,
VIAB,Viacom Inc.,26.34,+0.32,+1.23%,1.614M,4.253M,10.689B,6.50,
VIA,Viacom Inc.,27.72,+0.43,+1.58%,"11,236","62,469",10.726B,6.84,
HTHT,Huazhu Group Limited,34.54,+0.93,+2.77%,"835,740",1.418M,10.138B,49.27,
ARMK,Aramark,40.93,+3.83,+10.32%,6.909M,3.546M,10.106B,19.30,
W,Wayfair Inc.,108.80,-1.62,-1.47%,"563,505",1.605M,10.046B,N/A,
TIF,Tiffany & Co.,82.46,+1.66,+2.05%,"475,129",1.647M,10.011B,17.76,
AAP,"Advance Auto Parts, Inc.",136.95,+0.36,+0.26%,"188,928",1.302M,9.776B,22.86,
PKG,Packaging Corporation of America,102.13,+0.85,+0.84%,"68,568",1.105M,9.668B,12.22,
MTN,"Vail Resorts, Inc.",239.38,+3.11,+1.32%,"25,545","329,947",9.637B,32.18,
DPZ,"Domino's Pizza, Inc.",231.39,-3.56,-1.52%,"139,888","796,120",9.541B,25.82,
FWONA,Formula One Group,39.27,+0.37,+0.95%,"15,983","110,228",9.471B,N/A,
FWONK,Formula One Group,41.19,+0.36,+0.88%,"112,848","711,512",9.464B,N/A,
BFAM,Bright Horizons Family Solutions Inc.,162.04,+1.43,+0.89%,"42,315","237,817",9.432B,55.88,
CCK,"Crown Holdings, Inc.",67.39,+1.04,+1.57%,"218,609",1.467M,9.133B,19.82,
PHM,"PulteGroup, Inc.",32.68,+0.61,+1.91%,"267,242",3.562M,9.42B,9.93,
WRK,WestRock Company,34.16,+0.81,+2.43%,"224,780",2.16M,8.791B,10.62,
SCI,Service Corporation International,48.19,+0.17,+0.34%,"151,072","816,084",8.789B,21.60,
WHR,Whirlpool Corporation,135.61,+3.84,+2.91%,"90,967","732,812",8.615B,9.51,
NWS,News Corporation,14.42,+0.28,+1.98%,"60,253","758,420",8.29B,55.46,
MHK,"Mohawk Industries, Inc.",115.04,+3.70,+3.32%,"175,906","790,969",8.3B,2.31,
NWSA,News Corporation,14.04,+0.28,+2.03%,"390,318",3.323M,8.295B,54.00,
UA,"Under Armour, Inc.",16.99,+0.20,+1.19%,"265,530",2.261M,8.086B,90.86,
UAA,"Under Armour, Inc.",18.97,+0.32,+1.72%,"785,580",4.916M,8.128B,101.44,
LKQ,LKQ Corporation,25.94,+0.38,+1.47%,"499,178",2.658M,7.996B,19.61,
H,Hyatt Hotels Corporation,75.59,+1.08,+1.45%,"145,266","523,146",7.864B,19.26,
IPG,"The Interpublic Group of Companies, Inc.",20.34,+0.24,+1.21%,410.198k,3.235M,7.878B,12.26,
POOL,Pool Corporation,196.92,+1.97,+1.01%,"29,447","210,152",7.861B,32.46,
PSO,Pearson plc,9.89,+0.03,+0.30%,"21,633","202,385",7.832B,9.74,
CZR,Caesars Entertainment Corporation,11.52,-0.03,-0.26%,1.599M,21.684M,7.808B,N/A,
ATR,"AptarGroup, Inc.",120.84,+0.59,+0.49%,"24,626","274,230",7.739B,36.55,
KSS,Kohl's Corporation,47.26,+1.75,+3.85%,"935,104",4.914M,7.657B,9.86,
GIL,Gildan Activewear Inc.,36.80,+0.63,+1.74%,"56,177","423,755",7.504B,25.72,
FBHS,"Fortune Brands Home & Security, Inc.",51.21,+0.69,+1.37%,"59,002",1.299M,7.17B,17.92,
MSG,The Madison Square Garden Company,291.99,+0.49,+0.17%,"58,380","144,215",6.937B,179.91,
GNTX,Gentex Corporation,26.66,+0.23,+0.87%,"130,898",1.715M,6.792B,16.27,
WBC,WABCO Holdings Inc.,132.30,+0.06,+0.05%,"48,090","399,360",6.78B,19.97,
DNKN,"Dunkin' Brands Group, Inc.",81.74,-1.10,-1.33%,"110,821","696,801",6.761B,29.59,
RL,Ralph Lauren Corporation,87.51,+0.57,+0.66%,"254,995",1.18M,6.758B,16.12,
LEA,Lear Corporation,109.88,+0.91,+0.84%,"109,921","638,484",6.708B,7.93,
BWA,BorgWarner Inc.,32.44,+0.44,+1.37%,"237,526",1.817M,6.699B,8.81,
SEE,Sealed Air Corporation,42.78,+0.40,+0.96%,"129,520",1.252M,6.611B,18.06,
PLNT,"Planet Fitness, Inc.",70.17,+0.36,+0.52%,"189,115",1.498M,6.497B,57.71,
LEVI,Levi Strauss & Co.,16.44,+0.14,+0.86%,"158,561",1.581M,6.453B,16.05,
COLM,Columbia Sportswear Company,94.01,+0.99,+1.06%,"70,597","269,741",6.351B,21.00,
ETSY,"Etsy, Inc.",52.75,+0.14,+0.27%,"674,396",2.506M,6.354B,61.41,
GPS,"The Gap, Inc.",16.67,+0.70,+4.35%,1.699M,6.674M,6.299B,6.01,
FIVE,"Five Below, Inc.",110.70,+0.78,+0.71%,"189,682",1.15M,6.195B,40.56,
