symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
EPAY,"Bottomline Technologies (de), Inc.",43.40,+0.82,+1.93%,"79,224","246,100",1.89B,188.70,
AEIS,"Advanced Energy Industries, Inc.",49.19,+1.08,+2.24%,"31,914","303,107",1.884B,18.76,
IRBT,iRobot Corporation,66.93,+1.71,+2.62%,"284,733","803,836",1.882B,22.18,
OSIS,"OSI Systems, Inc.",104.00,-0.07,-0.06%,"48,664","170,555",1.883B,36.23,
CHNG,Change Healthcare Inc.,15.10,+0.37,+2.51%,"211,961",2.142M,1.885B,N/A,
SPSC,"SPS Commerce, Inc.",104.05,+0.29,+0.28%,"18,463","131,863",1.883B,60.25,
KN,Knowles Corporation,20.26,+0.27,+1.35%,"60,967","790,044",1.846B,27.98,
SPWR,SunPower Corporation,12.95,+0.07,+0.58%,"586,812",2.984M,1.846B,N/A,
RUN,Sunrun Inc.,15.63,+0.24,+1.56%,"412,791",1.857M,1.838B,N/A,
CLDR,"Cloudera, Inc.",6.71,+0.03,+0.45%,1.173M,9.866M,1.84B,N/A,
NSIT,"Insight Enterprises, Inc.",49.37,+0.92,+1.90%,"62,072","219,373",1.813B,10.55,
CSGS,"CSG Systems International, Inc.",53.41,+0.71,+1.35%,"50,259","197,015",1.763B,23.01,
PRGS,Progress Software Corporation,38.85,+0.62,+1.64%,"20,959","324,988",1.737B,32.26,
PLXS,Plexus Corp.,58.26,+1.20,+2.10%,"12,512","175,209",1.718B,13.14,
NTCT,"NetScout Systems, Inc.",22.49,+0.50,+2.27%,"35,474","457,558",1.707B,N/A,
CVET,"Covetrus, Inc.",15.05,+0.20,+1.35%,"886,214",1.705M,1.685B,50.17,
EB,"Eventbrite, Inc.",19.69,+0.67,+3.52%,"430,878","935,739",1.631B,N/A,
CBLK,"Carbon Black, Inc.",22.14,-0.53,-2.34%,"163,564","948,096",1.628B,N/A,
UPWK,Upwork Inc.,15.03,+0.03,+0.20%,"152,657",1.102M,1.611B,N/A,
INST,"Instructure, Inc.",42.72,+0.89,+2.14%,"45,282","378,439",1.585B,N/A,
FSLY,"Fastly, Inc.",16.99,+0.60,+3.65%,"228,089","854,252",1.588B,N/A,
VNET,"21Vianet Group, Inc.",7.00,+0.18,+2.64%,"66,147","297,839",1.568B,9.14,
BMI,"Badger Meter, Inc.",53.25,+0.24,+0.45%,"17,538","144,441",1.55B,42.94,
HCAT,"Health Catalyst, Inc.",44.15,+1.77,+4.16%,"154,959","857,594",1.549B,N/A,
ZUO,"Zuora, Inc.",13.74,+0.20,+1.48%,"264,976",2.041M,1.526B,N/A,
AMBA,"Ambarella, Inc.",46.58,+0.95,+2.08%,"60,496","557,806",1.525B,N/A,
MDRX,"Allscripts Healthcare Solutions, Inc.",9.10,+0.10,+1.11%,"63,158",1.78M,1.517B,8.58,
MXL,"MaxLinear, Inc.",20.95,+0.29,+1.40%,"27,388","419,941",1.492B,N/A,
CRAY,Cray Inc.,34.64,0.00,0.00%,"78,556","606,190",1.435B,N/A,
