symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
CNHI,CNH Industrial N.V.,9.22,+0.41,+4.65%,"777,304",1.574M,12.455B,10.89,
KSU-P,Kansas City Southern,28.23,0.00,0.00%,148,135,12.767B,5.05,
EXPD,"Expeditors International of Washington, Inc.",71.83,+0.40,+0.57%,"75,372",1.074M,12.264B,19.88,
KSU,Kansas City Southern,122.19,+2.12,+1.77%,"101,297","944,834",12.208B,21.87,
AAL,American Airlines Group Inc.,26.38,+0.59,+2.30%,2.237M,6.601M,11.748B,7.79,
CHRW,"C.H. Robinson Worldwide, Inc.",85.07,+1.25,+1.49%,"218,264",1.295M,11.517B,17.07,
JEC,Jacobs Engineering Group Inc.,84.73,+1.25,+1.50%,"80,080","926,612",11.481B,17.92,
RYAAY,Ryanair Holdings plc,58.85,+0.88,+1.52%,"152,406","787,274",11.323B,9.09,
WAB,Wabtec Corporation,68.08,+1.46,+2.19%,"663,657",2.112M,11.085B,39.93,
ARNC,Arconic Inc.,25.08,+0.24,+0.97%,"235,283",3.107M,11.04B,27.06,
JKHY,"Jack Henry & Associates, Inc.",142.71,+0.79,+0.56%,"78,325","367,890",11.018B,38.16,
ZNH,China Southern Airlines Company Limited,30.61,+1.54,+5.30%,"2,594","36,053",10.999B,13.60,
ROL,"Rollins, Inc.",33.18,+0.13,+0.39%,"140,814",1.478M,10.866B,48.09,
JBHT,"J.B. Hunt Transport Services, Inc.",100.24,+2.22,+2.26%,"69,248",1.204M,10.702B,23.27,
TXT,Textron Inc.,45.47,+1.11,+2.50%,"134,447",1.575M,10.464B,9.07,
BAH,Booz Allen Hamilton Holding Corporation,73.53,+0.61,+0.83%,"186,003",1.005M,10.31B,24.33,
LII,Lennox International Inc.,260.52,+4.40,+1.72%,"51,011","336,619",10.089B,28.82,
AVY,Avery Dennison Corporation,116.23,+2.25,+1.97%,"59,715","590,393",9.786B,41.06,
CEA,China Eastern Airlines Corporation Limited,24.67,+0.56,+2.31%,"4,953","17,647",9.595B,15.91,
ALLE,Allegion plc,96.49,+1.06,+1.11%,"149,716","744,404",9.01B,20.96,
WEX,WEX Inc.,204.24,+4.76,+2.39%,"50,906","297,631",8.833B,82.69,
HII,"Huntington Ingalls Industries, Inc.",208.59,+1.77,+0.86%,"16,984","298,852",8.622B,12.86,
URI,"United Rentals, Inc.",109.73,+1.74,+1.61%,"293,736",1.361M,8.467B,8.14,
EEFT,"Euronet Worldwide, Inc.",151.71,+1.11,+0.74%,"35,995","407,677",8.266B,31.27,
SNA,Snap-on Incorporated,148.53,+2.06,+1.41%,"43,619","436,526",8.2B,12.06,
CSL,Carlisle Companies Incorporated,141.62,+1.13,+0.81%,"23,094","376,257",8.017B,19.77,
NDSN,Nordson Corporation,136.77,-0.07,-0.05%,"52,470","165,219",7.858B,24.90,
SERV,"ServiceMaster Global Holdings, Inc.",57.86,+0.53,+0.92%,"105,319","675,711",7.861B,N/A,
G,Genpact Limited,41.12,+0.33,+0.80%,"103,202",1.272M,7.834B,27.79,
GGG,Graco Inc.,46.10,+0.31,+0.68%,"22,965","510,709",7.69B,23.17,
TTC,The Toro Company,72.04,-0.18,-0.26%,"98,076","477,861",7.667B,26.60,
SPR,"Spirit AeroSystems Holdings, Inc.",74.06,+0.91,+1.24%,"122,632","965,647",7.665B,11.50,
AOS,A. O. Smith Corporation,46.59,+0.32,+0.69%,"333,140",2.152M,7.66B,18.70,
ALK,"Alaska Air Group, Inc.",61.10,+1.09,+1.82%,"121,286",1.065M,7.532B,15.01,
NLSN,Nielsen Holdings plc,20.81,+0.46,+2.26%,"624,279",3.089M,7.402B,N/A,
AER,AerCap Holdings N.V.,52.82,+0.71,+1.36%,"81,801","870,417",7.215B,7.06,
ESLT,Elbit Systems Ltd.,156.05,+0.46,+0.30%,"3,668","14,506",6.944B,39.65,
CAE,CAE Inc.,25.99,+0.44,+1.70%,"59,655","224,360",6.923B,25.99,
UHAL,AMERCO,351.67,+2.32,+0.66%,14.396k,"60,795",6.895B,18.37,
HXL,Hexcel Corporation,80.73,+0.93,+1.17%,"53,078","502,273",6.869B,23.38,
WWD,"Woodward, Inc.",107.62,+1.34,+1.26%,"41,165","496,609",6.685B,27.61,
MORN,"Morningstar, Inc.",156.02,+0.57,+0.37%,"8,289","78,074",6.672B,38.53,
RHI,Robert Half International Inc.,55.58,+0.54,+0.98%,"68,240",1.411M,6.534B,14.62,
HDS,"HD Supply Holdings, Inc.",38.28,+0.28,+0.74%,169.797k,1.749M,6.54B,16.54,
DCI,"Donaldson Company, Inc.",49.73,+0.58,+1.18%,"66,796","407,592",6.342B,20.94,
XPO,"XPO Logistics, Inc.",68.10,+1.27,+1.90%,"160,644",1.261M,6.278B,23.94,
GWR,Genesee & Wyoming Inc.,110.08,+0.00,+0.00%,"189,963",1.044M,6.271B,29.81,
MIDD,The Middleby Corporation,111.35,+0.40,+0.36%,"34,406","412,831",6.199B,18.84,
PNR,Pentair plc,36.65,+0.47,+1.30%,74.603k,1.531M,6.159B,17.24,
GDI,"Gardner Denver Holdings, Inc.",30.18,+0.20,+0.67%,"217,890",1.409M,6.16B,24.32,
WSO,"Watsco, Inc.",159.90,+0.42,+0.26%,"33,391","230,961",6.026B,24.57,
KNX,Knight-Swift Transportation Holdings Inc.,34.52,+1.38,+4.16%,"336,670",2.144M,5.886B,14.15,
