symbol,company,exchange,date,priceRange,price,currency,shares,actions
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
,,undefined,undefined,undefined,undefined,undefined,undefined,undefined
