symbol,name,priceIntraday,change,percentChange,marketCap,volumeCurrencySince000UTC,volumeCurrency24Hr,totalVolumeAllCurrencies24Hr,circulatingSupply,range52Week
BTCD-USD,BitcoinDark USD,26.93,+0.00,+0.00%,34.711M,0,0,0,1.289M,
KNC-USD,Kyber Network USD,0.1578,-0.0053,-3.22%,33.711M,0,0,"410,324",213.609M,
FCT-USD,Factoids USD,3.3268,-0.0236,-0.70%,32.277M,0,0,"150,395",9.702M,
PPT-USD,Populous USD,0.5974,-0.0089,-1.46%,31.814M,0,0,"155,538",53.252M,
ANT-USD,Aragon USD,0.7308,+0.0387,+5.59%,28.945M,0,0,"9,525",39.61M,
BNT-USD,Bancor Network Token USD,0.4112,-0.0033,-0.80%,28.323M,0,0,"283,301",68.886M,
FUN-USD,FunFair USD,0.0024,-0.0000,-1.65%,26.362M,0,700,"27,759",11B,
PAY-USD,TenX USD,0.1202,+0.0010,+0.84%,24.661M,0,0,"160,426",205.218M,
ARK-USD,ARK USD,0.2215,-0.0046,-2.05%,23.971M,0,0,"115,269",108.202M,
ICN-USD,Iconomi USD,0.2365,0.0000,0.00%,23.651M,0,0,0,100M,
MTL-USD,Metal USD,0.3152,-0.0118,-3.61%,20.989M,0,0,19.564M,66.589M,
FAIR-USD,FairCoin USD,0.3908,0.0000,0.00%,20.787M,0,0,0,53.194M,
PIVX-USD,Private Instant Verified Transaction USD,0.3276,-0.0059,-1.77%,19.869M,0,0,"179,340",60.644M,
RLC-USD,iExec USD,0.2263,-0.0149,-6.18%,19.69M,0,0,"192,364",87M,
PART-USD,Particl USD,1.9920,-0.0182,-0.91%,18.492M,0,0,"48,571",9.283M,
NXT-USD,Nxt USD,0.0181,0.0000,0.00%,18.119M,0,0,"438,199",1B,
STEEM-USD,Steem USD,0.1751,-0.0041,-2.27%,17.454M,0,0,"564,367",99.692M,
GAS-USD,Gas USD,1.6939,+0.0096,+0.57%,17.157M,0,"3,753","731,749",10.128M,
GBYTE-USD,Byteball USD,25.17,-0.02,-0.09%,17.093M,0,0,"11,939","679,008",
KIN-USD,Kin USD,0.0000,0.0000,0.00%,16.736M,0,0,"309,679",756.098B,
VERI-USD,Veritaseum USD,7.706726,-0.905490,-10.51%,15.614M,0,267,1.741M,2.026M,
VTC-USD,VertCoin USD,0.2920,-0.0080,-2.68%,14.852M,0,0,"27,053",50.856M,
LKK-USD,Lykke USD,0.0113,0.0000,0.00%,14.573M,0,0,0,1.286B,
NXS-USD,Nexus USD,0.2270,-0.0207,-8.35%,14.448M,0,0,"226,701",63.657M,
SYS-USD,SysCoin USD,0.0257,-0.0011,-4.14%,14.334M,0,0,"97,460",558.696M,
QRL-USD,Quantum Resistant Ledger USD,0.1877,-0.0090,-4.58%,12.924M,0,0,"1,340",68.845M,
AE-USD,Aeternity USD,0.2493,+0.0009,+0.35%,12.161M,0,0,9.473M,48.789M,
SALT-USD,Salt Lending USD,0.1012,-0.0074,-6.81%,12.145M,0,0,"123,288",120M,
SMART-USD,SmartCash USD,0.0054,+0.0001,+1.11%,12.03M,"2,008","3,252","24,589",2.241B,
BCCOIN-USD,BitConnect Coin USD,1.0000,0.0000,0.00%,11.081M,0,0,0,11.081M,
SUB-USD,Substratum Network USD,0.0178,-0.0017,-8.52%,10.516M,0,0,"1,978",592M,
DCN-USD,Dentacoin USD,0.0000,0.0000,0.00%,10.46M,0,0,"147,405",325.227B,
FRST-USD,FirstCoin USD,0.7670,+0.7554,"+6,524.07%",10.382M,0,0,0,13.536M,
BLOCK-USD,BlockNet USD,1.5267,-0.1887,-11.00%,9.119M,0,0,"20,424",5.973M,
NEBL-USD,Neblio USD,0.5446,-0.0181,-3.22%,8.422M,0,0,"147,848",15.463M,
TAAS-USD,Token as a Service USD,0.9863,+0.0285,+2.98%,8.035M,0,0,740,8.146M,
SNGLS-USD,SingularDTV USD,0.0074,-0.0002,-2.72%,7.403M,0,48,"84,695",1B,
NAV-USD,NavCoin USD,0.1092,-0.0004,-0.39%,7.18M,0,0,"124,425",65.722M,
DNT-USD,district0x USD,0.0066,-0.0002,-3.53%,6.602M,0,0,"67,824",1B,
MLN-USD,Melon USD,4.3484,+0.0946,+2.22%,5.361M,0,0,"12,532",1.233M,
XCP-USD,CounterParty USD,1.9512,0.0000,0.00%,5.103M,0,0,0,2.615M,
WINGS-USD,Wings DAO USD,0.0434,-0.0002,-0.49%,4.342M,0,0,343,100M,
SNM-USD,SONM USD,0.0092,-0.0003,-3.18%,4.101M,0,0,"110,230",444M,
UBQ-USD,Ubiq USD,0.0996,-0.0017,-1.69%,3.783M,0,0,"3,287",37.987M,
GAME-USD,Gamecredits USD,0.0429,0.0000,0.00%,2.995M,0,25,"10,470",69.836M,
MGO-USD,MobileGo USD,0.0287,+0.0003,+1.23%,2.871M,"2,699","4,024","4,334",100M,
EDG-USD,Edgeless USD,0.0214,-0.0018,-7.83%,2.831M,0,220,"36,092",132.047M,
BQX-USD,Bitquence USD,1.1259,+0.7699,+216.28%,2.503M,0,0,0,2.223M,
IOC-USD,IOCoin USD,0.1356,0.0000,0.00%,2.384M,0,0,0,17.582M,
NLC2-USD,NoLimitCoin USD,0.0025,0.0000,0.00%,1.489M,0,0,"19,336",603.855M,
ATM-USD,Autumncoin USD,0.0001,0.0000,0.00%,"825,043",0,0,0,10B,
MCAP-USD,MCAP USD,0.0030,0.0000,0.00%,"301,830",0,0,0,100M,
ATB-USD,ATB coin USD,0.0031,-0.0004,-10.72%,"121,891","23,528","40,506","41,729",39.257M,
ADX-USD,AdEx USD,0.1030,-0.0165,-13.78%,0,0,0,"163,326",0,
